question,answer
When a child should be vaccinated?,"There is no alternative of timely vaccination to protect a child from diseases. This vaccination starts just after birth as per Government Immunization Program. But if the baby is sick of low birth weight, it can wait 1-2 months with consultation of physician. As per EPI vaccination program, this schedule must be completed within 1 (One) year of a child’s birth. Please contact nearby Government Health Center of vaccination center for further details of child vaccination."
When a child should be vaccinated?,"There is no alternative of timely vaccination to protect a child from diseases. This vaccination is given free of cost from the government just after birth of a baby. But the baby can wait for 1-2 months, if it is sick of low birth weight, with consultation of physician. 
As per EPI vaccination program, a child is given total 6 vaccines against 10 diseases. A baby is given BCG vaccination just after birth. 
If a baby is not given BCG just after birth, then it can be given BCG + OPV Penta-(PV) PCV vaccines at the age of 6 weeks (42- 45 days). Baby is given MR at 9 months and Measles vaccine at the age of 15 months. This is important that, BCG is prophylactic for tuberculosis, (single dose) and OPV is vaccine for polio (4 doses 4 weeks apart). Moreover, Penta (PV) is combination of 5 vaccines; they are- diphtheria, whooping cough, Tetanus, hepatitis-B and Influenza (3 doses in 4 weeks interval). 
PCV is a vaccine for pneumonia (single dose). MR is prophylactic for measles and rubella viruses ( single dose). 

Please contact nearby Government Health Center of vaccination center for further details of child vaccination."
,"A baby is safe for vaccination in minor illness. Common cold, fever, cough, diarrhea or in other general illnesses even with suffering from malnutrition, a baby can be vaccinated. But a physician must be consulted in case of vaccination during illness.
If a baby is too sick to admit in a hospital, it should be vaccinated. If the baby has a history of seizures or unconsciousness during last DPT/ Pentavalent vaccination, it should be provided with any dose of TT/DT.
Please contact nearby Government Health Center of vaccination center for further details of child vaccination. They will be able to provide you with accurate information as per your child’s condition. 
"
Problems might occur after vaccination,"Baby may cry or it  might experience low grade fever, rash in skin or pain at vaccination site or joints. Small infection might take place at the sit after 3-4 weeks of BCG vaccination. If the fever is high and continue  more than 3 days, vaccination site swells or the baby becomes restless, please consult a doctor. "
When should you go for diarrhoea vaccination?,"Vaccination for diarrhea (rotavirus vaccine) needs 3 doses. First dose should be given within 6 to 10 weeks after birth.  Second dose should be given 6-10 weeks after the 1st dose, and 3rd dose should be given 6-10 weeks after 2nd dose. 
All doses should be completed within 32 weeks of child’s birth.
"
what are the benefits of breastfeeding,"Benefits of breast milk for a baby:
1.        It has all necessary nutrition for a child’s growth
2.        Easily digested
3.        GIves immunity
4.        Enhance intellect
5.        Can protect from neonatal jaundice
6.        Makes a strong bondage with mother
Mothers’ breast milk is the best, cheap and safe food for all babies.
Benefits of breastfeeding for a mother:
1.        Decreases post-partum hemorrhage
2.        Helps to keep a better mental health
3.        Lowers the risk of breast and cancer
"
Position of the mother,"Mothers position during breast feeding
-        Mother can feed in sitting or lying position
-        If she feeds in sitting position: sit comfortably in a chair or a bed
-        If feeds in lying position: keep head in a pillow and side-lying, face the baby towards breast, hold the baby in such a way that its heads is higher level than legs. 
-        Mother should not be bending on the baby
Babies proper position during breastfeeding
1.        Hold the baby with her/his head on your elbow, and the part below the waist and lower body over your palm 
2.        Hold the baby firmly, keeping her/his head, back and lower part of body, all in a straight line  
3.        Baby’s abdomen should be touching the mother’s body
4.        The baby’s mouth should be at the nipple of the mother's breast."
Proper attachment of the baby,"During breastfeeding, baby’s mouth should be -
1.        Baby’s mouth should be wide open
2.        Baby’s chin should be touching the mother’s breast
3.        Baby’s lower lip should be turned outwards
4.        Most of the black part of the upper portion of the breast should be inside the baby’s mouth
5.        Baby’s nose should be free."
How frequently a mother should feed the baby,"How frequently a mother should breast-feed?
-        Feed the baby 2-3 hourly; and also feed as per baby’s demand
-        Feed the baby every day for minimum 8 times or more in day and night
"
What to do if a baby cis unable to suck breast milk?,"If the baby is reluctant to eat, cannot suck breast or cannot eat properly- it’s a danger sign for a baby. 
So please contact nearby government hospital or child specialist to understand the health condition of your child. They will provide your baby the appropriate treatment and suggestions after examining your baby.
If the doctor says your baby is alright, yet it cannot suck breast milk, what should you do?
-        Mother can express her breast milk with own hand and can feed the baby with a spoon from a bowl.  
"
How the baby should be trained to suck breast milk?,"
 If breastfeeding is stopped, after a certain period if might be difficult to return the milk flow back.
 What to do?
 1. Hold the baby frequently on the breast.
 2. Keep the baby in skin-to-skin care position. This is called Kangaroo Mother Care, in short KMC. In this type of care, child’s skin is directly in touch with the caregiver. It is very beneficial for babies born prematurely or with low birth weight. Babies with normal weight also benefited from this care.
 Who can do this?
 - Mother, Father, Grandfather- Mother ( maternal or paternal) or any other healthy member of the family.
  When can do this?
 1. Anytime of the day
 2. Every day in several times
 3. Up to the highest possible time, even 20 hours per day
 Benefits of KMC
 - Helps the baby for better growth and weight gain 
 - Reduces infection
 - Enables baby to be breastfed for longer period
 - Baby sleeps adequately
 - Keep the bay warm which lowers the risk of getting cold
 How long it can be done?
 Kangaroo Mother Care (KMC) for low birth weight is very necessary. KMC should be continued up to the child’s weight gain at 2.5 kg or more. It may be needed up to Six months of age. 
 Considering child’s weight, physical condition and based on doctors advice, KMC can be extended for further age."
Should you feed breast milk when the mother or baby becomes sick?,"Should mother breastfeed if she herself or the child is sick?
If the mother or the baby becomes sick, mother will continue breast feeding as well. Breast milk does not make any harm to the baby of breastfeeding does not harm the mother either. 
"
